stage,formed_mass_fraction,state_lookback_gyr,predicted_log_stellar_mass,comparison_history_gyr,shape_comparison_limited,n_mass_compatible,n_with_history,n_with_stamp,n_selected,candidate_redshift_p16,candidate_redshift_median,candidate_redshift_p84,selected_delta_ms_median
1,0.95,1.5234679067685295,10.977356440677031,2.0,False,1142,1142,1142,5,0.5799999833106995,0.7039999961853027,0.8560000061988831,1.838802591882105
2,0.9,2.1495686942091115,10.953875344827509,2.0,False,1228,1228,1228,5,0.5740000009536743,0.6940000057220459,0.8479999899864197,1.586204789921481
3,0.85,2.521059919021329,10.929051761102476,2.0,False,1312,1312,1312,5,0.5672000050544739,0.6859999895095825,0.8420000076293945,1.7651531074789948
4,0.8,2.7898594912534636,10.902722822380127,2.0,False,1389,1389,1389,5,0.5619999766349792,0.675000011920929,0.8379999995231628,1.6366662844041477
5,0.6,3.6749348866214637,10.777784085771827,2.0,False,1663,1663,1663,5,0.527999997138977,0.6340000033378601,0.8019999861717224,1.7398074074268792
6,0.4,4.402674833067694,10.601692826716146,2.0,False,1862,1862,1862,5,0.4779999852180481,0.5960000157356262,0.7900000214576721,1.7398074074268792
7,0.2,4.968000937207561,10.300662831052165,2.0,False,1998,1998,1998,5,0.38999998569488525,0.5400000214576721,0.7279999852180481,1.753228896901947
8,0.1,5.254517190718168,9.999632835388184,1.877394430375582,False,2043,2043,2043,5,0.33000001311302185,0.4659999907016754,0.6959999799728394,1.5850754658068387
9,0.03,5.663552059853197,9.476754090107846,1.4683595612405531,False,1655,1655,1655,5,0.27799999713897705,0.3440000116825104,0.4320000112056732,1.7718493081294908
10,0.01,5.899996995587248,8.999632835388184,1.2319146255065023,False,877,877,877,5,0.1763199996948242,0.23000000417232513,0.3019999861717224,1.7968003905189218
