stage,formed_mass_fraction,state_lookback_gyr,predicted_log_stellar_mass,comparison_history_gyr,shape_comparison_limited,rank,galaxy_id,bundle_index,log_stellar_mass,mass_offset_dex,redshift,phz_log_ssfr,phz_delta_ms,cumulative_sfh_distance,has_stamp
1,0.95,2.930965279369931,10.977645403994902,2.0,False,1,2659854720684798410,13716,10.928716659545898,-0.04892874444900386,1.378000020980835,-8.209156036376953,1.7651531074789948,0.019914080004882616,True
1,0.95,2.930965279369931,10.977645403994902,2.0,False,2,2753316360680891979,13704,11.075105667114258,0.09746026311935552,1.472000002861023,-8.203196287155151,1.7685034134562216,0.02920181590979692,True
1,0.95,2.930965279369931,10.977645403994902,2.0,False,3,2678711556674304258,13703,10.83240795135498,-0.14523745263992183,1.3339999914169312,-8.20333194732666,1.7650968407574488,0.0562713716031971,True
1,0.95,2.930965279369931,10.977645403994902,2.0,False,4,2634119826667500832,13712,11.049838066101074,0.07219266210617192,1.3359999656677246,-8.464562892913818,1.5638488638846684,0.09267851597638918,True
1,0.95,2.930965279369931,10.977645403994902,2.0,False,5,2675195668637612508,13561,10.83139419555664,-0.14625120843826167,0.9760000109672546,-8.480748891830444,1.6959028293247935,0.09322236212897368,True
2,0.9,3.1735282445459463,10.95416430814538,2.0,False,1,2678711556674304258,13703,10.83240795135498,-0.12175635679039942,1.3339999914169312,-8.20333194732666,1.7650968407574488,0.03237639648268499,True
2,0.9,3.1735282445459463,10.95416430814538,2.0,False,2,2659854720684798410,13716,10.928716659545898,-0.025447648599481454,1.378000020980835,-8.209156036376953,1.7651531074789948,0.04529242209872916,True
2,0.9,3.1735282445459463,10.95416430814538,2.0,False,3,2753316360680891979,13704,11.075105667114258,0.12094135896887792,1.472000002861023,-8.203196287155151,1.7685034134562216,0.08584080733825222,True
2,0.9,3.1735282445459463,10.95416430814538,2.0,False,4,2634119826667500832,13712,11.049838066101074,0.09567375795569433,1.3359999656677246,-8.464562892913818,1.5638488638846684,0.14931750740484445,True
2,0.9,3.1735282445459463,10.95416430814538,2.0,False,5,2675195668637612508,13561,10.83139419555664,-0.12277011258873927,0.9760000109672546,-8.480748891830444,1.6959028293247935,0.14986135355742897,True
