stage,formed_mass_fraction,state_lookback_gyr,predicted_log_stellar_mass,comparison_history_gyr,shape_comparison_limited,n_mass_compatible,n_with_history,n_with_stamp,n_selected,candidate_redshift_p16,candidate_redshift_median,candidate_redshift_p84,selected_delta_ms_median
1,0.95,2.930965279369931,10.977645403994902,2.0,False,1141,1141,1141,5,0.5799999833106995,0.7049999833106995,0.8560000061988831,1.7650968407574488
2,0.9,3.1735282445459463,10.95416430814538,2.0,False,1226,1226,1226,5,0.5740000009536743,0.6940000057220459,0.8479999899864197,1.7650968407574488
3,0.85,3.4099531426131113,10.929340724420348,2.0,False,1311,1311,1311,5,0.5668799996376037,0.6859999895095825,0.8420000076293945,1.7650968407574488
4,0.8,3.596813895113271,10.903011785697998,2.0,False,1392,1392,1392,5,0.5619999766349792,0.6740000247955322,0.8379999995231628,1.6366662844041477
5,0.6,4.158782024525617,10.778073049089699,2.0,False,1663,1663,1663,5,0.527999997138977,0.6340000033378601,0.8001600098609923,1.7398074074268792
6,0.4,4.651499741034969,10.601981790034017,2.0,False,1863,1863,1863,5,0.4779999852180481,0.5960000157356262,0.7900000214576721,1.7398074074268792
7,0.2,5.092475668690091,10.300951794370036,1.5768050930286588,False,1998,1998,1998,5,0.38999998569488525,0.5400000214576721,0.7279999852180481,1.753228896901947
8,0.1,5.37261305342649,9.999921798706055,1.2966677082922597,False,2042,2042,2042,5,0.33000001311302185,0.4659999907016754,0.6959999799728394,1.5850754658068387
9,0.03,5.848356282493678,9.477043053425717,0.8209244792250718,False,1655,1655,1655,5,0.2792799997329712,0.3440000116825104,0.4320000112056732,1.7718493081294908
10,0.01,6.103721305716931,8.999921798706055,0.5655594560018189,False,878,878,878,5,0.17664000034332275,0.23000000417232513,0.3019999861717224,1.7968003905189218
