pdf_page,mass_low,mass_high,z_low,z_high,cluster,n_objects,n_stamps,n_shown
1,9.0,9.5,0.0,0.3,1,823,823,3
1,9.0,9.5,0.0,0.3,2,186,186,3
1,9.0,9.5,0.0,0.3,3,22,22,3
2,9.0,9.5,0.3,0.6,1,751,751,3
2,9.0,9.5,0.3,0.6,2,447,447,3
2,9.0,9.5,0.3,0.6,3,1,1,1
3,9.0,9.5,0.6,1.0,1,20,20,3
3,9.0,9.5,0.6,1.0,2,4,4,3
3,9.0,9.5,0.6,1.0,3,1,1,1
4,9.5,10.0,0.0,0.3,1,134,134,3
4,9.5,10.0,0.0,0.3,2,66,66,3
4,9.5,10.0,0.0,0.3,3,75,75,3
5,9.5,10.0,0.3,0.6,1,813,813,3
5,9.5,10.0,0.3,0.6,2,1444,1444,3
5,9.5,10.0,0.3,0.6,3,194,194,3
6,9.5,10.0,0.6,1.0,1,282,282,3
6,9.5,10.0,0.6,1.0,2,111,111,3
6,9.5,10.0,0.6,1.0,3,2,2,2
7,9.5,10.0,1.0,1.5,1,14,14,3
7,9.5,10.0,1.0,1.5,2,0,0,0
7,9.5,10.0,1.0,1.5,3,0,0,0
8,10.0,10.5,0.0,0.3,1,8,8,3
8,10.0,10.5,0.0,0.3,2,5,5,3
8,10.0,10.5,0.0,0.3,3,39,39,3
9,10.0,10.5,0.3,0.6,1,239,239,3
9,10.0,10.5,0.3,0.6,2,1068,1068,3
9,10.0,10.5,0.3,0.6,3,815,815,3
10,10.0,10.5,0.6,1.0,1,418,418,3
10,10.0,10.5,0.6,1.0,2,640,640,3
10,10.0,10.5,0.6,1.0,3,36,36,3
11,10.0,10.5,1.0,1.5,1,44,44,3
11,10.0,10.5,1.0,1.5,2,6,6,3
11,10.0,10.5,1.0,1.5,3,0,0,0
12,10.5,11.0,0.0,0.3,1,0,0,0
12,10.5,11.0,0.0,0.3,2,0,0,0
12,10.5,11.0,0.0,0.3,3,3,3,3
13,10.5,11.0,0.3,0.6,1,19,19,3
13,10.5,11.0,0.3,0.6,2,263,263,3
13,10.5,11.0,0.3,0.6,3,856,856,3
14,10.5,11.0,0.6,1.0,1,124,124,3
14,10.5,11.0,0.6,1.0,2,730,730,3
14,10.5,11.0,0.6,1.0,3,666,666,3
15,10.5,11.0,1.0,1.5,1,39,39,3
15,10.5,11.0,1.0,1.5,2,56,56,3
15,10.5,11.0,1.0,1.5,3,0,0,0
16,11.0,11.5,0.3,0.6,1,0,0,0
16,11.0,11.5,0.3,0.6,2,1,1,1
16,11.0,11.5,0.3,0.6,3,79,79,3
17,11.0,11.5,0.6,1.0,1,14,14,3
17,11.0,11.5,0.6,1.0,2,152,152,3
17,11.0,11.5,0.6,1.0,3,588,588,3
18,11.0,11.5,1.0,1.5,1,13,13,3
18,11.0,11.5,1.0,1.5,2,35,35,3
18,11.0,11.5,1.0,1.5,3,9,9,3
