stage,formed_mass_fraction,state_lookback_gyr,predicted_log_stellar_mass,comparison_history_gyr,shape_comparison_limited,rank,galaxy_id,bundle_index,log_stellar_mass,mass_offset_dex,redshift,phz_log_ssfr,phz_delta_ms,cumulative_sfh_distance,has_stamp
1,0.95,0.8188845035132054,10.462650782718047,2.0,False,1,2765823515651281065,13520,10.611650466918945,0.14899968420089849,0.9160000085830688,-8.761504054069519,1.388466101568134,0.0013331644966260207,True
1,0.95,0.8188845035132054,10.462650782718047,2.0,False,2,2715637870685853669,11433,10.403047561645508,-0.059603221072539014,0.8479999899864197,-8.964802861213684,1.1680124147607711,0.0020075870792355703,True
1,0.95,0.8188845035132054,10.462650782718047,2.0,False,3,2758528497640400544,13501,10.448771476745605,-0.013879305972441358,0.9340000152587891,-8.603606820106506,1.481937181633779,0.002459092507639276,True
1,0.95,0.8188845035132054,10.462650782718047,2.0,False,4,2686438568655226633,13503,10.501232147216797,0.03858136449875005,0.9620000123977661,-8.49051022529602,1.5924783214640965,0.0029574113755700196,True
1,0.95,0.8188845035132054,10.462650782718047,2.0,False,5,2654381422648556082,11853,10.559021949768066,0.09637116705001958,0.7200000286102295,-9.516852140426636,0.7733962158903015,0.0030355018954649074,True
2,0.9,1.4161021572798043,10.439169686868524,2.0,False,1,2665034043668981542,12975,10.33516788482666,-0.10400180204186427,0.8600000143051147,-9.101640224456787,1.0001261702917597,0.002745436675209292,True
2,0.9,1.4161021572798043,10.439169686868524,2.0,False,2,2673574569652995115,13468,10.4697265625,0.030556875631475577,0.9900000095367432,-8.688958048820496,1.3656590242887217,0.0035223515101703304,True
2,0.9,1.4161021572798043,10.439169686868524,2.0,False,3,2643456408663786240,13228,10.44458293914795,0.005413252279424796,0.9359999895095825,-8.856540560722351,1.2263013556567857,0.0042664352296006985,True
2,0.9,1.4161021572798043,10.439169686868524,2.0,False,4,2727579410637599231,11445,10.292110443115234,-0.14705924375329005,0.7260000109672546,-9.057313561439514,1.1361406348250864,0.006255520606411347,True
2,0.9,1.4161021572798043,10.439169686868524,2.0,False,5,2746076314657644554,13371,10.45280647277832,0.01363678590979589,0.9300000071525574,-8.250410079956055,1.8391762137128569,0.006444909440606487,True
3,0.85,1.8442728858155164,10.414346103143492,2.0,False,1,2729826866681253754,13469,10.44182014465332,0.02747404150982824,0.9919999837875366,-8.291297674179077,1.7533585387978046,0.004474907813531248,True
3,0.85,1.8442728858155164,10.414346103143492,2.0,False,2,2625587373653760688,13296,10.53829574584961,0.1239496427061173,0.9319999814033508,-8.833457231521606,1.2818300471809647,0.006588797730904197,True
3,0.85,1.8442728858155164,10.414346103143492,2.0,False,3,2669962211655798316,13575,10.405083656311035,-0.009262446832456916,0.9779999852180481,-8.557830810546875,1.4844847283863003,0.006866952915708735,True
3,0.85,1.8442728858155164,10.414346103143492,2.0,False,4,2757534665642581103,13175,10.52873420715332,0.11438810400982824,0.9599999785423279,-9.131684064865112,0.9612829807473936,0.007425231637951536,True
3,0.85,1.8442728858155164,10.414346103143492,2.0,False,5,2659004518638398653,13254,10.541037559509277,0.12669145636578527,0.9300000071525574,-8.776773452758789,1.3407860292080875,0.008739059477522213,True
4,0.8,2.202695741373826,10.388017164421143,2.0,False,1,2747650982670270769,13320,10.454317092895508,0.06629992847436483,1.0720000267028809,-8.587589383125305,1.4113126637366054,0.007817830666729917,True
4,0.8,2.202695741373826,10.388017164421143,2.0,False,2,2650202959678670856,13387,10.452018737792969,0.06400157337182577,1.00600004196167,-8.487422108650208,1.5514066917019966,0.012669678673200426,True
4,0.8,2.202695741373826,10.388017164421143,2.0,False,3,2658537943673551922,13495,10.374479293823242,-0.013537870597900792,0.9279999732971191,-8.500364065170288,1.5657585742245925,0.01346094122372337,True
4,0.8,2.202695741373826,10.388017164421143,2.0,False,4,2740149368667834322,13403,10.452147483825684,0.06413031940454061,0.9179999828338623,-8.463741540908813,1.6340031293468011,0.01356976867737639,True
4,0.8,2.202695741373826,10.388017164421143,2.0,False,5,2719975428650465420,12840,10.271435737609863,-0.1165814268112797,0.8339999914169312,-8.925554990768433,1.1746783347908036,0.015292901180426702,True
5,0.6,3.23338062489424,10.263078427812843,2.0,False,1,2640109785664925808,13707,10.349495887756348,0.08641745994350458,1.4780000448226929,-8.019483089447021,1.753228896901947,0.04299071837661905,True
5,0.6,3.23338062489424,10.263078427812843,2.0,False,2,2717353722653902287,13682,10.230218887329102,-0.03285954048374151,1.1979999542236328,-8.051108121871948,1.8123752487073825,0.06424627614705505,True
5,0.6,3.23338062489424,10.263078427812843,2.0,False,3,2691025900648883627,13687,10.147310256958008,-0.11576817085483526,1.1820000410079956,-8.187386870384216,1.6599599614461211,0.07163708749552541,True
5,0.6,3.23338062489424,10.263078427812843,2.0,False,4,2656685702653947484,13654,10.280752182006836,0.017673754193992863,1.121999979019165,-8.656580209732056,1.261693312420356,0.07267316411306549,True
5,0.6,3.23338062489424,10.263078427812843,2.0,False,5,2737101536672032269,13658,10.196409225463867,-0.06666920234897589,1.1740000247955322,-8.192847728729248,1.6729419001754704,0.07303445842792003,True
6,0.4,3.985537011589052,10.086987168757162,2.0,False,1,2647131718660160391,13641,10.030768394470215,-0.05621877428694688,1.1699999570846558,-8.192909002304077,1.6263188369991526,0.14014136803218386,True
6,0.4,3.985537011589052,10.086987168757162,2.0,False,2,2647176063640000279,13626,9.946571350097656,-0.14041581865950548,1.2400000095367432,-8.138103246688843,1.6231027140978829,0.19994749450337734,True
6,0.4,3.985537011589052,10.086987168757162,2.0,False,3,2658189408677769790,13714,10.072080612182617,-0.014906556574544538,1.4639999866485596,-8.117822885513306,1.5850754658068387,0.20117551636468237,True
