stage,formed_mass_fraction,state_lookback_gyr,predicted_log_stellar_mass,comparison_history_gyr,shape_comparison_limited,n_mass_compatible,n_with_history,n_with_stamp,n_selected,candidate_redshift_p16,candidate_redshift_median,candidate_redshift_p84,selected_delta_ms_median
1,0.99,3.401285564251343,10.843165559587785,2.0,False,1520,1520,1520,5,0.5400000214576721,0.6600000262260437,0.828000009059906,1.5939640954623822
2,0.98,3.5440884579146914,10.83875644068273,2.0,False,1541,1541,1541,5,0.5400000214576721,0.6600000262260437,0.828000009059906,1.6959028293247935
3,0.97,3.655437557632428,10.83430209925648,2.0,False,1554,1554,1554,5,0.5400000214576721,0.6579999923706055,0.828000009059906,1.6959028293247935
4,0.96,3.750729659396129,10.829801598029803,2.0,False,1560,1560,1560,5,0.5400000214576721,0.6579999923706055,0.8259999752044678,1.691216756531539
5,0.95,3.8591855311140337,10.825253970279082,2.0,False,1568,1568,1568,5,0.5379999876022339,0.6539999842643738,0.8240000009536743,1.691216756531539
6,0.9,4.144262740540621,10.80177287442956,2.0,False,1624,1624,1624,5,0.5320000052452087,0.6399999856948853,0.8119999766349792,1.7650968407574488
7,0.85,4.360908504982119,10.776949290704527,2.0,False,1661,1661,1661,5,0.527999997138977,0.6340000033378601,0.8019999861717224,1.7398074074268792
8,0.8,4.5802423648603225,10.750620351982178,2.0,False,1715,1715,1715,5,0.5239999890327454,0.621999979019165,0.7979999780654907,1.7398074074268792
9,0.6,5.216364287190909,10.625681615373878,2.0,False,1857,1857,1857,5,0.492000013589859,0.6000000238418579,0.7861600136756896,1.7398074074268792
10,0.4,5.777478215129113,10.449590356318197,1.9923992262771373,False,1964,1964,1964,5,0.44600000977516174,0.5730000138282776,0.7518399763107296,1.5215733188293181
11,0.2,6.305047513487767,10.148560360654216,1.4648299279184833,False,2005,2005,2005,5,0.3479999899864197,0.5220000147819519,0.7120000123977661,1.5850754658068387
12,0.1,6.647243248390506,9.847530364990234,1.1226341930157444,False,1997,1997,1997,5,0.33000001311302185,0.4300000071525574,0.6100000143051147,1.6231027140978829
13,0.03,7.154161686318492,9.324651619709897,0.6157157550877583,False,1504,1504,1504,5,0.2280000001192093,0.3229999989271164,0.37599998712539673,1.7718493081294908
