stage,formed_mass_fraction,state_lookback_gyr,predicted_log_stellar_mass,comparison_history_gyr,shape_comparison_limited,rank,galaxy_id,bundle_index,log_stellar_mass,mass_offset_dex,redshift,phz_log_ssfr,phz_delta_ms,cumulative_sfh_distance,has_stamp
1,0.95,1.743254236330467,10.917430407657012,2.0,False,1,2660081178659323771,13651,10.986905097961426,0.06947469030441411,1.1080000400543213,-8.447309255599976,1.689852241978317,0.004311078174897584,True
1,0.95,1.743254236330467,10.917430407657012,2.0,False,2,2741142906641231164,13466,10.768239974975586,-0.14919043268142573,0.9300000071525574,-8.321113586425781,1.8684791911183285,0.008979724662785755,True
1,0.95,1.743254236330467,10.917430407657012,2.0,False,3,2746673600660615781,13427,10.88402271270752,-0.03340769494949214,0.9700000286102295,-9.206435441970825,0.9908786105258457,0.009692419324341638,True
1,0.95,1.743254236330467,10.917430407657012,2.0,False,4,2739479407646710297,13662,10.985644340515137,0.06821393285812505,1.1519999504089355,-8.468506574630737,1.641562325616977,0.01023986166645023,True
1,0.95,1.743254236330467,10.917430407657012,2.0,False,5,2714071861665017987,13456,10.851871490478516,-0.06555891717849605,1.0379999876022339,-9.177512526512146,0.9634994712279455,0.010515976164130178,True
2,0.9,2.4875011612482667,10.89394931180749,2.0,False,1,2675195668637612508,13561,10.83139419555664,-0.06255511625084864,0.9760000109672546,-8.480748891830444,1.6959028293247935,0.023163401507891063,True
2,0.9,2.4875011612482667,10.89394931180749,2.0,False,2,2752524161681122296,13621,10.746442794799805,-0.14750651700768458,1.25,-8.294881582260132,1.691216756531539,0.027101578099161777,True
2,0.9,2.4875011612482667,10.89394931180749,2.0,False,3,2634913015652100575,13516,10.765207290649414,-0.1287420211580752,0.9300000071525574,-9.25338625907898,0.9352450223207723,0.02978616352858635,True
2,0.9,2.4875011612482667,10.89394931180749,2.0,False,4,2759635543654599959,13656,10.857925415039062,-0.036023896768426766,1.2719999551773071,-8.079265594482422,1.9273423895874555,0.030769773860258177,True
2,0.9,2.4875011612482667,10.89394931180749,2.0,False,5,2649173403675031662,11290,10.7650728225708,-0.12887648923668849,0.8320000171661377,-9.602343797683716,0.6615858601782948,0.03804418975037808,True
3,0.85,2.855344097202238,10.869125728082457,2.0,False,1,2659854720684798410,13716,10.928716659545898,0.05959093146344152,1.378000020980835,-8.209156036376953,1.7651531074789948,0.020514307813396516,True
3,0.85,2.855344097202238,10.869125728082457,2.0,False,2,2703488790670980759,13681,10.79566764831543,-0.07345807976702723,1.1699999570846558,-8.407060146331787,1.6366662844041477,0.033811001766065794,True
3,0.85,2.855344097202238,10.869125728082457,2.0,False,3,2752524161681122296,13621,10.746442794799805,-0.12268293328265223,1.25,-8.294881582260132,1.691216756531539,0.05241061489721726,True
3,0.85,2.855344097202238,10.869125728082457,2.0,False,4,2717164221659400875,13698,10.722220420837402,-0.14690530724505457,1.1139999628067017,-8.572161436080933,1.4822829269176023,0.05421761147126633,True
3,0.85,2.855344097202238,10.869125728082457,2.0,False,5,2678711556674304258,13703,10.83240795135498,-0.03671777672747645,1.3339999914169312,-8.20333194732666,1.7650968407574488,0.054683090270399845,True
4,0.8,3.1438795021516297,10.842796789360108,2.0,False,1,2678711556674304258,13703,10.83240795135498,-0.010388838005127354,1.3339999914169312,-8.20333194732666,1.7650968407574488,0.03561811591368688,True
4,0.8,3.1438795021516297,10.842796789360108,2.0,False,2,2703488790670980759,13681,10.79566764831543,-0.047129141044678136,1.1699999570846558,-8.407060146331787,1.6366662844041477,0.05338308890571719,True
4,0.8,3.1438795021516297,10.842796789360108,2.0,False,3,2741447642657085578,13677,10.69784164428711,-0.14495514507299845,1.1540000438690186,-8.284204959869385,1.7398074074268792,0.05679478225580527,True
4,0.8,3.1438795021516297,10.842796789360108,2.0,False,4,2659854720684798410,13716,10.928716659545898,0.08591987018579061,1.378000020980835,-8.209156036376953,1.7651531074789948,0.05992109060005081,True
4,0.8,3.1438795021516297,10.842796789360108,2.0,False,5,2752524161681122296,13621,10.746442794799805,-0.09635399456030314,1.25,-8.294881582260132,1.691216756531539,0.12520334191861054,True
5,0.6,3.895636260114631,10.717858052751808,2.0,False,1,2716117201644464606,13713,10.577238082885742,-0.14061996986606573,1.350000023841858,-8.430529594421387,1.4589546513658234,0.110077399096122,True
